"","X","interaction_ID","AML.0024","AML.0160","AML.0693","AML.1371","AML.2123","AML.3133","AML.4340","healthy.1","healthy.2","healthy.3","healthy.4","healthy.4003","healthy.5"
"1",65,"NK:TNFRSF1B_Ery:GRN",1,0,1,1,1,1,0,1,1,1,1,1,1
"2",69,"NK:TNFRSF1B_NK:GRN",1,0,0,1,0,0,1,0,0,0,0,0,0
"3",86,"Ery:CD74_Mono:ACKR3",1,0,0,0,0,0,0,0,0,0,0,0,0
"4",115,"Mono:IL1B_HSPC:IL1R2",1,0,0,0,0,0,0,0,0,0,0,0,0
"5",141,"Mono:FN1_HSPC:CD44",1,0,0,0,0,1,0,0,0,0,0,0,0
"6",149,"HSPC:VEGFA_HSPC:CD44",0,0,1,0,0,0,0,0,0,0,0,0,0
"7",207,"HSPC:LPL_HSPC:CD44",1,0,0,0,0,0,0,0,0,0,0,0,0
"8",208,"HSPC:LPL_T:CD44",1,0,0,0,0,0,0,0,0,0,0,0,0
"9",213,"Ery:VIM_HSPC:CD44",1,1,0,1,1,1,0,0,0,1,0,0,0
"10",214,"Ery:VIM_T:CD44",1,1,0,1,1,1,0,0,0,1,0,0,0
"11",231,"B:SRGN_HSPC:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"12",253,"Ery:LAMC1_HSPC:CD44",0,1,0,0,0,0,0,0,0,0,0,0,0
"13",255,"Gran:LAMC1_HSPC:CD44",1,0,0,0,0,0,0,0,0,0,0,0,0
"14",256,"Gran:LAMC1_T:CD44",1,0,0,0,0,0,0,0,0,0,0,0,0
"15",267,"Ery:VCAN_HSPC:CD44",1,0,0,0,0,0,0,0,0,0,0,0,0
"16",268,"Ery:VCAN_T:CD44",1,0,0,0,0,0,0,0,0,0,0,0,0
"17",271,"HSPC:VCAN_HSPC:CD44",1,0,0,0,0,0,0,0,0,0,0,0,1
"18",272,"HSPC:VCAN_T:CD44",1,0,0,0,0,0,0,0,0,0,0,0,1
"19",281,"Ery:HGF_HSPC:CD44",0,1,0,0,0,0,0,0,0,0,0,0,0
"20",282,"Ery:HGF_T:CD44",0,1,0,0,0,0,0,0,0,0,0,0,0
"21",317,"Gran:CCL5_Gran:SDC4",1,0,0,0,0,0,0,1,0,0,0,0,0
"22",318,"Gran:CCL5_Mono:SDC4",1,0,0,0,0,0,0,0,0,0,0,0,0
"23",319,"Mono:FN1_Gran:ITGA4",1,0,0,0,0,1,0,0,0,0,0,0,0
"24",322,"HSPC:F13A1_Gran:ITGA4",1,1,0,1,0,0,1,0,0,0,0,0,0
"25",326,"Ery:VCAN_Gran:ITGA4",1,0,0,0,0,0,0,0,0,0,0,0,0
"26",328,"HSPC:VCAN_Gran:ITGA4",1,0,0,0,0,0,0,0,0,0,0,0,1
"27",331,"T:VCAN_Gran:ITGA4",1,0,0,0,0,0,0,0,0,0,0,0,0
"28",332,"DC:THBS1_Gran:ITGA4",1,0,0,0,0,1,0,1,1,0,0,0,0
"29",333,"Ery:THBS1_Gran:ITGA4",1,0,0,0,0,0,0,0,0,0,0,0,0
"30",336,"NK:THBS1_Gran:ITGA4",1,0,1,0,0,0,0,0,0,0,0,0,0
"31",339,"Ery:CD14_Gran:ITGA4",1,0,0,1,0,0,0,0,0,0,0,0,0
"32",341,"HSPC:CD14_Gran:ITGA4",1,0,0,0,0,0,0,0,0,0,0,0,0
"33",353,"HSPC:CXCL8_DC:SDC2",1,0,0,1,0,0,0,0,0,0,0,0,0
"34",354,"HSPC:CXCL8_Gran:SDC2",0,0,0,0,1,0,0,1,0,0,0,0,0
"35",355,"HSPC:CXCL8_Mono:SDC2",0,0,0,0,0,0,1,1,0,0,0,0,0
"36",363,"T:TGFB1_Gran:SDC2",0,0,0,0,1,0,0,1,1,0,0,0,0
"37",366,"Mono:C1QA_HSPC:CD93",1,0,0,0,0,0,0,0,0,0,0,0,0
"38",369,"HSPC:CXCL8_DC:CD79A",0,0,0,0,0,1,0,0,0,0,0,0,0
"39",375,"Mono:ACKR3_Ery:ADM",1,0,0,0,0,0,0,0,0,0,0,0,0
"40",377,"Mono:ACKR3_HSPC:ADM",1,0,0,0,0,0,0,0,0,0,0,0,0
"41",422,"Ery:VCAN_B:SELL",1,0,0,0,0,0,0,0,0,0,0,0,0
"42",437,"Gran:CA2_Ery:AQP1",1,0,1,1,1,0,0,0,0,0,1,0,0
"43",446,"HSPC:CXCL8_Ery:ACKR1",1,1,1,1,1,1,0,1,0,1,0,0,0
"44",448,"Gran:CCL5_Ery:ACKR1",1,0,1,1,1,0,0,1,0,0,0,0,0
"45",450,"Gran:CCL5_Gran:CCR1",1,0,0,1,1,0,0,1,0,0,0,0,0
"46",554,"Mono:C1QA_Ery:CR1",1,0,0,0,0,0,0,0,0,0,0,0,0
"47",558,"Mono:C1QA_DC:CR1L",1,0,0,0,0,0,0,0,0,0,0,0,0
"48",559,"Mono:C1QA_Ery:CR1L",1,1,0,0,0,0,0,0,0,0,0,0,0
"49",604,"Ery:THBS1_Mono:CD36",1,0,0,0,0,0,0,0,0,0,0,0,0
"50",610,"Ery:TLR2_Mono:CD36",1,0,0,0,0,0,0,0,0,0,0,0,0
"51",616,"Ery:S100A8_Mono:CD36",1,1,0,0,1,0,0,0,0,0,0,0,0
"52",628,"Ery:S100A9_Mono:CD36",1,1,0,0,1,1,0,0,0,0,0,0,0
"53",634,"HSPC:S100A9_Mono:CD36",0,1,0,0,0,1,0,0,0,0,0,1,1
"54",639,"B:TGFB1_NK:CXCR4",1,0,1,1,1,1,1,1,1,1,1,1,0
"55",658,"NK:TGFB1_Ery:CXCR4",1,0,0,1,1,0,0,0,0,0,0,0,0
"56",666,"T:TGFB1_Ery:CXCR4",1,1,0,1,1,0,0,0,0,0,0,0,0
"57",670,"T:TGFB1_NK:CXCR4",1,0,1,1,1,1,1,1,1,1,1,1,1
"58",679,"Gran:CD4_NK:CXCR4",1,0,1,0,1,1,0,1,1,1,1,1,0
"59",681,"HSPC:CD4_Mono:CXCR4",1,0,0,0,0,0,0,0,0,0,0,0,0
"60",682,"HSPC:CD4_NK:CXCR4",1,0,0,0,0,0,0,0,0,0,0,0,0
"61",688,"T:CD4_NK:CXCR4",0,0,0,0,0,1,0,0,0,0,0,0,0
"62",726,"Ery:CD74_NK:CXCR4",1,0,0,1,1,1,0,0,0,1,0,0,1
"63",756,"NK:ADRB2_NK:CXCR4",0,0,0,1,1,0,0,0,0,0,1,0,0
"64",759,"T:ADRB2_NK:CXCR4",1,0,0,1,0,0,0,0,0,0,0,0,0
"65",791,"HSPC:CCR2_Mono:CXCR4",1,0,0,0,0,0,0,0,0,0,0,0,0
"66",792,"HSPC:CCR2_NK:CXCR4",1,0,0,0,0,0,0,0,0,0,0,0,0
"67",793,"HSPC:CCR2_T:CXCR4",1,0,0,0,0,0,0,0,0,0,0,0,0
"68",799,"Mono:ACKR3_Ery:CXCR4",1,0,0,0,0,0,0,0,0,0,0,0,0
"69",803,"Mono:ACKR3_NK:CXCR4",1,0,0,0,0,0,0,0,0,0,0,0,0
"70",822,"NK:TGFB1_HSPC:ACVRL1",1,0,0,0,0,0,0,0,0,0,0,0,0
"71",824,"T:TGFB1_HSPC:ACVRL1",1,0,0,0,0,0,0,0,0,0,0,0,0
"72",918,"Mono:CD9_NK:IL16",1,0,0,1,0,0,1,0,0,0,0,0,0
"73",983,"NK:LTA_NK:TNFRSF1B",0,0,1,0,0,0,0,0,0,0,0,0,0
"74",1047,"Gran:ITGA4_Gran:SPON2",0,0,0,1,1,0,0,0,0,0,0,0,0
"75",1059,"NK:ITGB2_Ery:S100A8",1,0,0,0,1,0,0,0,0,0,0,0,0
"76",1067,"Ery:TLR4_Gran:S100A8",1,0,0,0,0,0,0,0,0,0,0,0,0
"77",1079,"NK:ITGB2_Ery:S100A9",1,0,0,0,1,1,0,0,0,0,0,0,0
"78",1081,"NK:ITGB2_HSPC:S100A9",0,0,0,0,0,1,0,0,0,0,0,1,1
"79",1087,"Ery:TLR4_Gran:S100A9",1,0,0,0,0,0,0,0,0,0,0,0,0
"80",1177,"Ery:CCRL2_Gran:CCL5",1,0,0,1,0,0,0,0,0,0,0,0,0
"81",1178,"Mono:CCRL2_Gran:CCL5",0,0,0,0,0,0,0,1,0,0,0,0,0
"82",1193,"Ery:TLR4_Gran:S100A12",1,0,0,0,0,0,0,0,0,0,0,0,0
"83",1214,"DC:ITGA5_Mono:CD9",0,0,0,1,0,0,1,1,0,0,0,0,0
"84",1215,"Gran:ITGA5_Mono:CD9",1,0,0,1,0,0,1,1,0,0,0,0,0
"85",1216,"HSPC:ITGA5_Mono:CD9",1,0,0,0,0,0,1,1,0,0,0,0,0
"86",1217,"Mono:ITGA5_Mono:CD9",1,0,0,1,0,0,1,1,0,0,0,0,0
"87",1218,"NK:ITGA5_Mono:CD9",0,0,0,1,0,0,1,0,0,0,0,0,0
"88",1219,"T:ITGA5_Mono:CD9",0,0,0,0,0,0,1,0,0,0,0,0,0
"89",1225,"Gran:ITGA4_Ery:CD9",0,1,0,0,0,0,0,0,0,0,0,0,0
"90",1226,"Gran:ITGA4_Gran:CD9",1,0,0,1,1,0,1,0,0,0,0,0,0
"91",1228,"Gran:ITGA4_Mono:CD9",1,0,0,1,0,0,1,1,0,0,0,0,0
"92",1235,"Ery:HLA-DRA_Mono:CD9",0,0,0,1,0,0,0,0,0,0,0,0,0
"93",1249,"NK:HLA-DRA_Mono:CD9",1,0,0,1,0,0,0,1,0,0,0,0,0
"94",1250,"T:HLA-DRA_Mono:CD9",1,0,0,1,0,0,1,1,0,0,0,0,0
"95",1271,"Mono:C1QA_HSPC:CD33",1,1,0,0,0,0,0,0,0,0,0,0,0
"96",1314,"Ery:AQP1_Gran:CTNNB1",1,1,1,1,1,1,0,0,1,0,1,1,1
"97",1315,"Ery:AQP1_Mono:CTNNB1",1,1,1,1,1,1,0,0,1,0,1,1,1
"98",1351,"Gran:IFNG_Mono:IFNGR2",0,0,0,0,1,0,0,0,0,0,0,0,0
"99",1360,"Gran:ITGA4_Gran:CD82",1,0,1,1,1,0,1,1,1,0,0,0,0
"100",1362,"Gran:ITGA4_Mono:CD82",1,1,1,0,1,1,1,1,1,0,0,0,0
"101",1414,"DC:THBS1_NK:SLC7A5",0,0,0,0,0,1,0,1,1,0,0,0,0
"102",1415,"DC:THBS1_T:SLC7A5",1,0,0,0,0,1,0,0,1,0,0,0,0
"103",1416,"Ery:THBS1_T:SLC7A5",1,0,0,0,0,0,0,0,0,0,0,0,0
"104",1421,"NK:THBS1_T:SLC7A5",1,0,0,0,0,0,0,0,0,0,0,0,0
"105",1422,"T:THBS1_T:SLC7A5",1,0,0,0,0,0,0,0,0,0,0,0,0
"106",1434,"Ery:TLR2_Mono:RNASE2",1,0,0,0,0,0,0,0,0,0,0,0,0
"107",1436,"HSPC:TLR2_Mono:RNASE2",1,0,1,0,0,1,1,0,0,0,0,0,0
"108",1454,"Ery:S100A8_B:CD69",1,1,0,0,1,0,0,0,0,0,0,0,0
"109",1455,"Ery:S100A8_T:CD69",1,1,0,0,1,0,0,0,0,0,0,0,0
"110",1476,"Ery:LGALS1_B:CD69",1,1,0,0,0,1,0,0,0,0,0,0,0
"111",1477,"Ery:LGALS1_T:CD69",1,1,0,0,0,1,0,0,0,0,0,0,0
"112",1486,"NK:LGALS1_Ery:CD69",0,0,0,1,1,1,0,0,0,0,0,0,0
"113",1487,"NK:LGALS1_Gran:CD69",0,0,0,1,1,0,0,1,0,0,0,0,0
"114",1499,"Gran:ITGA4_Gran:ADAM28",0,1,0,1,1,0,1,1,1,1,0,0,0
"115",1501,"Gran:ITGA4_Mono:ADAM28",0,0,0,0,1,1,1,0,1,0,0,0,0
"116",1672,"Ery:TYROBP_Mono:TREM1",1,0,0,0,0,1,0,0,0,0,0,0,0
"117",1674,"HSPC:TYROBP_DC:TREM1",1,1,0,1,0,1,1,1,1,1,1,0,1
"118",1675,"HSPC:TYROBP_Ery:TREM1",1,1,0,0,0,0,0,0,0,0,0,0,0
"119",1676,"HSPC:TYROBP_Gran:TREM1",1,1,1,1,1,1,1,1,1,1,1,1,1
"120",1677,"HSPC:TYROBP_HSPC:TREM1",1,0,0,0,0,1,0,0,0,0,0,0,0
"121",1685,"Ery:CIRBP_Ery:TREM1",1,1,0,0,0,0,0,0,0,0,0,0,0
"122",1759,"DC:ITGA6_B:CD81",0,0,1,0,0,1,0,0,0,0,0,0,0
"123",1805,"Gran:FLT3_Ery:FLT3LG",0,1,0,1,0,0,0,0,0,0,0,1,0
"124",1806,"Gran:FLT3_T:FLT3LG",0,1,1,1,1,1,1,0,1,1,1,1,0
"125",1807,"Mono:FLT3_Ery:FLT3LG",0,1,0,1,0,0,0,0,0,0,0,0,0
"126",1868,"Gran:FLT3_NK:FLT3LG",0,0,1,1,0,0,0,0,0,0,0,0,0
"127",1869,"Mono:FLT3_NK:FLT3LG",0,0,1,1,0,0,0,0,0,0,0,0,0
